,Index,Publishing Year,Title,Author,Author Rating,Book Average Rating,Book Ratings Count,Genre,Gross Sales,Publisher Revenue,Sale Price,Sales Rank,Publisher,Units Sold
0,0.0,1975,Beowulf,"Unknown, Seamus Heaney",Novice,3.42,155903.0,genre fiction,34160.0,20496.0,4.88,1.0,HarperCollins Publishers,7000.0
1,1.0,1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate,4.23,145267.0,genre fiction,12437.5,7462.5,1.99,2.0,HarperCollins Publishers,6250.0
2,2.0,2015,Go Set a Watchman,Harper Lee,Novice,3.31,138669.0,genre fiction,47795.0,28677.0,8.69,3.0,"Amazon Digital Services,  Inc.",5500.0
3,3.0,2008,When You Are Engulfed in Flames,David Sedaris,Intermediate,4.04,150898.0,fiction,41250.0,24750.0,7.5,3.0,Hachette Book Group,5500.0
4,4.0,2011,Daughter of Smoke & Bone,Laini Taylor,Intermediate,4.04,198283.0,genre fiction,37952.5,22771.5,7.99,4.0,Penguin Group (USA) LLC,4750.0
5,5.0,2015,Red Queen,Victoria Aveyard,Intermediate,4.08,83354.0,genre fiction,19960.0,0.0,4.99,5.0,"Amazon Digital Services,  Inc.",4000.0
6,6.0,2011,The Power of Habit,Charles Duhigg,Intermediate,4.03,155977.0,genre fiction,27491.67,16495.002,6.99,6.0,HarperCollins Publishers,3933.0
7,7.0,1994,Midnight in the Garden of Good and Evil,John Berendt,Intermediate,3.9,167997.0,nonfiction,26182.0,15709.2,6.89,8.0,Hachette Book Group,3800.0
8,8.0,2012,Hopeless,Colleen Hoover,Intermediate,4.34,189938.0,genre fiction,26093.67,15656.202,6.99,9.0,HarperCollins Publishers,3733.0
9,9.0,1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Intermediate,4.2,199872.0,genre fiction,23792.34,14275.404,6.49,10.0,Random House LLC,3666.0
10,10.0,2004,The Truth About Forever,Sarah Dessen,Intermediate,4.13,179415.0,genre fiction,17964.0,0.0,4.99,11.0,"Amazon Digital Services,  Inc.",3600.0
11,11.0,1954,The horse and his boy,C.S. Lewis,Intermediate,3.9,189671.0,fiction,21564.0,12938.4,5.99,11.0,Penguin Group (USA) LLC,3600.0
12,12.0,2010,Last Sacrifice ,Richelle Mead,Famous,4.42,206792.0,genre fiction,3431.34,0.0,0.99,13.0,"Amazon Digital Services,  Inc.",3466.0
13,13.0,1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.18,195424.0,genre fiction,6897.34,4138.404,1.99,13.0,HarperCollins Publishers,3466.0
14,14.0,1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",Intermediate,4.29,173469.0,genre fiction,21797.82,13078.692,6.54,15.0,Random House LLC,3333.0
15,15.0,1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Intermediate,3.76,139411.0,genre fiction,16297.34,0.0,4.99,16.0,"Amazon Digital Services,  Inc.",3266.0
16,16.0,1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",Intermediate,3.8,159752.0,genre fiction,15968.0,0.0,4.99,17.0,"Amazon Digital Services,  Inc.",3200.0
17,17.0,2006,Pretty Little Liars,Sara Shepard,Intermediate,3.9,156328.0,genre fiction,15968.0,0.0,4.99,17.0,"Amazon Digital Services,  Inc.",3200.0
18,18.0,1948,Corduroy,Don Freeman,Intermediate,4.28,160860.0,genre fiction,6234.67,3740.802,1.99,18.0,Simon and Schuster Digital Sales Inc,3133.0
19,19.0,2006,The Omnivore's Dilemma,Michael Pollan,Intermediate,4.17,133271.0,genre fiction,3035.34,0.0,0.99,19.0,"Amazon Digital Services,  Inc.",3066.0
20,20.0,2013,Life After Life,Kate Atkinson,Intermediate,3.74,138454.0,genre fiction,11702.67,0.0,3.99,21.0,"Amazon Digital Services,  Inc.",2933.0
21,21.0,2000,The Rescue,Nicholas Sparks,Intermediate,4.1,142092.0,genre fiction,8569.34,0.0,2.99,22.0,"Amazon Digital Services,  Inc.",2866.0
23,23.0,1993,Voyager,Diana Gabaldon,Intermediate,4.38,157395.0,genre fiction,8171.67,0.0,2.99,24.0,"Amazon Digital Services,  Inc.",2733.0
25,25.0,1981,Cujo,Stephen King,Intermediate,3.65,158215.0,genre fiction,7774.0,0.0,2.99,26.0,"Amazon Digital Services,  Inc.",2600.0
26,26.0,1993,The Virgin Suicides,Jeffrey Eugenides,Intermediate,3.83,159249.0,genre fiction,26904.06,16142.436,10.91,28.0,Penguin Group (USA) LLC,2466.0
27,27.0,2004,Dead to the World,Charlaine Harris,Intermediate,4.13,199572.0,genre fiction,2376.0,0.0,0.99,29.0,"Amazon Digital Services,  Inc.",2400.0
28,28.0,1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Intermediate,3.77,171599.0,nonfiction,9576.0,5745.6,3.99,29.0,Hachette Book Group,2400.0
29,29.0,1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Intermediate,3.64,158877.0,genre fiction,9308.67,0.0,3.99,30.0,"Amazon Digital Services,  Inc.",2333.0
30,30.0,1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",Intermediate,4.22,178432.0,genre fiction,4509.34,0.0,1.99,31.0,"Amazon Digital Services,  Inc.",2266.0
31,31.0,2010,The Way of Kings,Brandon Sanderson,Famous,4.64,144822.0,genre fiction,2178.0,0.0,0.99,32.0,"Amazon Digital Services,  Inc.",2200.0
32,32.0,2003,Club Dead,Charlaine Harris,Intermediate,4.03,181323.0,genre fiction,13178.0,7906.8,5.99,32.0,HarperCollins Publishers,2200.0
33,33.0,2006,It's Kind of a Funny Story,Ned Vizzini,Intermediate,4.14,161001.0,nonfiction,2045.34,1227.204,0.99,34.0,HarperCollins Publishers,2066.0
35,35.0,2015,After You,Jojo Moyes,Intermediate,3.7,99342.0,genre fiction,1964.16,0.0,0.99,36.0,"Amazon Digital Services,  Inc.",1984.0
36,36.0,2011,The Language of Flowers,Vanessa Diffenbaugh,Intermediate,4.07,140076.0,genre fiction,1964.16,1178.496,0.99,36.0,"Amazon Digital Services,  Inc.",1984.0
37,37.0,1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",Intermediate,4.25,135979.0,genre fiction,1949.31,0.0,0.99,37.0,"Amazon Digital Services,  Inc.",1969.0
38,38.0,2005,The Angel Experiment,James Patterson,Intermediate,4.08,172302.0,genre fiction,1949.31,0.0,0.99,37.0,"Amazon Digital Services,  Inc.",1969.0
39,39.0,1995,High Fidelity,Nick Hornby,Intermediate,3.94,134849.0,genre fiction,20309.55,12185.73,10.65,41.0,Random House LLC,1907.0
40,40.0,2003,The Guardian,Nicholas Sparks,Intermediate,4.14,136427.0,genre fiction,1873.08,0.0,0.99,42.0,"Amazon Digital Services,  Inc.",1892.0
41,41.0,2003,Oryx and Crake,Margaret Atwood,Intermediate,4.0,151500.0,genre fiction,7485.24,0.0,3.99,43.0,"Amazon Digital Services,  Inc.",1876.0
